Events number,p1x,p1y,p1z,p2x,p2y,p2z
486,-18.95757382,3.842205965,-22.94912551,16.26669712,-3.59394967,29.27130372
487,28.41811163,14.68621824,11.35223883,-27.70700478,-16.40185381,-11.65447769
488,28.5845501,1.844944576,2.894965508,-34.74230234,-1.684953893,-3.138190298
489,-23.23450383,15.90952545,-6.817981862,22.48627512,-19.98889118,6.97955395
490,12.87022497,28.61938105,-1.812651086,-11.86267343,-25.23993162,1.74136825
491,-12.5808714,22.16917719,-15.2949392,11.97044862,-25.73598723,15.22017149
492,-4.554622032,32.85764408,8.193982486,4.798554526,-29.70309801,-7.351467712
493,7.774077222,29.13175566,-9.919446165,-7.867494409,-29.72145,10.90140563
494,19.04811184,7.624834046,24.85106307,-18.41436398,-7.026539688,-23.5558686
495,4.864937755,30.55083799,6.127103308,-4.065764524,-28.60697767,-6.90928932
496,-27.39610261,8.188744429,-15.12924985,26.06382805,-8.635463013,16.21652323
497,28.58946804,17.05224374,1.319270178,-28.40213232,-16.916508,-1.139744192
498,28.31108508,5.77926693,10.52066323,-30.89480897,-6.696085286,-10.3537004
499,-31.02347977,11.6941095,-3.152636377,36.90036815,-12.22393668,3.15199786
500,8.223268209,8.934168421,-30.99854486,-8.2990091,-8.838279587,30.61020882
501,23.46459455,20.72024741,7.033053503,-21.60154631,-25.88288518,-6.655243436
502,-12.1133203,17.2839091,-22.9736052,12.00336672,-18.89668495,23.83873161
503,22.73581356,15.19886715,-15.17466906,-23.49924009,-13.41957276,14.17870058
504,-12.44409366,25.60157622,-13.94702694,11.47430171,-24.72846656,15.81126708
505,26.97252944,22.72692515,-1.188174354,-27.65726588,-18.79045026,1.342955767
506,-13.52829295,23.58210475,-12.91869081,13.99921098,-22.93302558,14.64858966
507,-30.64014204,11.76733472,2.659474799,32.24439289,-10.65846812,-2.54716185
508,-10.85447992,20.53074268,25.88121686,9.838699804,-21.60184849,-22.6828146
509,26.81652897,16.90855977,-4.273938059,-25.97078392,-19.23232091,4.104977348
510,-20.30013011,12.35835568,22.16207899,19.01513505,-12.06275838,-22.79298992
511,-19.7761211,19.20309676,19.36673169,17.28551628,-19.18657808,-24.84872901
